age_group,pb_level,BLL0,f_sys,dBLL_med_Post,dBLL_med_Pre,dBLL_p05_Post,dBLL_p05_Pre,dBLL_p95_Post,dBLL_p95_Pre,p_exceed_3_5_Post,p_exceed_3_5_Pre,p_exceed_5_Post,p_exceed_5_Pre,delta_dBLL_med,delta_dBLL_p05,delta_dBLL_p95,rr_exceed_3_5,rr_exceed_5
Child_3_6y,C_high,0.5,0.75,25.01281139753356,17.20886465196082,15.688457846244852,10.874040603677866,39.82928110270299,27.079360900586433,1,1,1,1,7.803946745572741,4.814417242566986,12.74992020211656,1,1
Child_3_6y,C_high,1,0.75,24.994101806011027,17.240591176303308,15.843002122030956,10.846681857283453,39.74746171200857,26.826199803451107,1,1,1,1,7.753510629707719,4.996320264747503,12.921261908557465,1,1
Child_3_6y,C_high,2,0.75,24.96965855742544,17.208277368519074,15.768301672755584,10.684869426638304,39.207215390850934,27.026877052185025,1,1,1,1,7.761381188906366,5.08343224611728,12.180338338665909,1,1
Child_3_6y,C_high,0.5,1,33.07217261319166,23.062335145091446,20.973710062802372,14.311837878022851,53.32311868533954,36.29215653574876,1,1,1,1,10.009837468100216,6.66187218477952,17.030962149590778,1,1
Child_3_6y,C_high,1,1,33.14398680544248,22.58966495297519,20.931197939264237,14.246093478734318,52.613788422500065,35.99513474431619,1,1,1,1,10.55432185246729,6.685104460529919,16.618653678183875,1,1
Child_3_6y,C_high,2,1,33.33762989013679,22.879733759996142,21.224264997387543,14.325220708736609,53.40675116382833,36.036347593325075,1,1,1,1,10.457896130140647,6.899044288650934,17.370403570503257,1,1
Child_3_6y,C_low,0.5,0.25,2.082065885212166,0.9202649974415151,1.2950509652856759,0.5833862557389403,3.2621854757606195,1.461272523037452,0.2763333333333333,0,0.04616666666666667,0,1.1618008877706507,0.7116647095467356,1.8009129527231675,Inf,Inf
Child_3_6y,C_low,1,0.25,2.0818398943101215,0.9255507129188892,1.3254219110940528,0.5899369336904016,3.275661423852943,1.506669826356803,0.39183333333333337,0.001,0.093,0,1.1562891813912324,0.7354849774036513,1.7689915974961399,391.83333333333337,Inf
Child_3_6y,C_low,2,0.25,2.0701549121618026,0.9353933700548822,1.3203721731535403,0.5858861812425308,3.224155451463156,1.475185071854841,0.5415,0.044333333333333336,0.2791666666666667,0,1.1347615421069204,0.7344859919110095,1.748970379608315,12.214285714285714,Inf
Child_3_6y,C_low,0.5,0.5,4.1505092336082114,1.8503173144943732,2.618188732584922,1.1670618484002904,6.6282465085570585,2.978522503145298,0.5495,0.04666666666666667,0.436,3.333333333333333e-4,2.3001919191138382,1.4511268841846316,3.6497240054117603,11.774999999999999,1308
Child_3_6y,C_low,1,0.5,4.146490632609684,1.8406491023338036,2.624533028769808,1.1730768012024966,6.538896955534866,2.9281662507992525,0.6325000000000001,0.142,0.4756666666666667,0.005,2.30584153027588,1.4514562275673113,3.610730704735613,4.454225352112677,95.13333333333334
Child_3_6y,C_low,2,0.5,4.169177643920353,1.8437452107544599,2.6164846021791988,1.1600687208959446,6.6389412067548035,2.967199715485669,0.9418333333333333,0.76,0.5485,0.046,2.325432433165893,1.4564158812832542,3.6717414912691346,1.2392543859649123,11.923913043478262
Child_3_6y,C_low,0.5,0.75,6.170771310008819,2.8049916105063115,3.8980022551987625,1.7378023132701925,9.977462759887027,4.4088749258500615,0.7803333333333333,0.4043333333333333,0.5465,0.044,3.3657796995025073,2.1601999419285702,5.568587834036966,1.9299258037922506,12.420454545454545
Child_3_6y,C_low,1,0.75,6.158214559331821,2.7898796927051386,3.9241340110811977,1.7704519669967294,9.945457528510826,4.462413713311756,0.8883333333333333,0.6473333333333333,0.5938333333333333,0.10566666666666667,3.3683348666266824,2.1536820440844684,5.4830438151990695,1.3722966014418125,5.6198738170347
Child_3_6y,C_low,2,0.75,6.255610360503754,2.804323862274512,3.8839945096462,1.752333844572273,9.838257833310765,4.406111067701001,0.9971666666666666,0.984,0.7798333333333334,0.404,3.451286498229242,2.1316606650739267,5.4321467656097635,1.013380758807588,1.9302805280528053
Child_3_6y,C_low,0.5,1,8.316298627145963,3.693782558264596,5.221451691973762,2.3492364466842353,13.314726418416267,5.886748981510368,0.9390000000000001,0.7716666666666666,0.698,0.24333333333333335,4.622516068881367,2.8722152452895267,7.427977436905899,1.2168466522678187,2.868493150684931
Child_3_6y,C_low,1,1,8.26335501838018,3.689327066982833,5.174986908505008,2.334109662267513,13.065434376385095,5.857475019291241,0.9796666666666667,0.9216666666666666,0.7716666666666667,0.3953333333333333,4.574027951397347,2.8408772462374947,7.207959357093855,1.0629294755877035,1.9519392917369311
Child_3_6y,C_low,2,1,8.334946963436808,3.7070990690568992,5.169979084818805,2.3500658119771662,13.085606589989993,5.871325591999668,0.9998333333333334,0.9993333333333333,0.9381666666666666,0.7783333333333333,4.627847894379909,2.8199132728416387,7.2142809979903255,1.000500333555704,1.2053533190578158
