age_group,period_flood,pb_level,f_sys,BLL0,threshold_ug_dl,dBLL_med,dBLL_p05,dBLL_p95,p_exceed,p_exceed_p05,p_exceed_p95
Child_7_12y,Recovery,C_high,1,0.5,5,19.10879390818699,11.826482225345286,30.994865110484426,1,1,1
Child_7_12y,Recovery,C_high,1,1,3.5,19.02630126672348,11.920804665769882,30.72309522121183,1,1,1
Child_7_12y,Recovery,C_high,1,1,5,19.02630126672348,11.920804665769882,30.72309522121183,1,1,1
Child_7_12y,Recovery,C_high,1,2,3.5,18.965055443865715,11.699825527172097,30.893350777688365,1,1,1
Child_7_12y,Recovery,C_high,1,2,5,18.965055443865715,11.699825527172097,30.893350777688365,1,1,1
Infant_0_6mo,Disturbance,C_low,0.25,0.5,3.5,7.215396003361785,4.68578694823,11.159208304287764,0.9993333333333333,1,1
Infant_0_6mo,Disturbance,C_low,0.25,0.5,5,7.215396003361785,4.68578694823,11.159208304287764,0.9623333333333334,1,1
Infant_0_6mo,Disturbance,C_low,0.25,1,3.5,7.170414674814946,4.620301706324378,11.277418173498862,0.9996666666666667,1,1
Infant_0_6mo,Disturbance,C_low,0.25,1,5,7.170414674814946,4.620301706324378,11.277418173498862,0.9843333333333333,1,1
Infant_0_6mo,Disturbance,C_low,0.25,2,3.5,7.219971713792427,4.610472198898262,11.217692666467272,1,1,1
Infant_0_6mo,Disturbance,C_low,0.25,2,5,7.219971713792427,4.610472198898262,11.217692666467272,0.9993333333333333,1,1
Infant_0_6mo,Disturbance,C_low,0.5,0.5,3.5,14.434328856169595,9.15661056119154,22.634350933124807,1,1,1
Infant_0_6mo,Disturbance,C_low,0.5,0.5,5,14.434328856169595,9.15661056119154,22.634350933124807,1,1,1
Infant_0_6mo,Disturbance,C_low,0.5,1,3.5,14.42701632723697,9.28729766860667,22.76941132256209,1,1,1
Infant_0_6mo,Disturbance,C_low,0.5,1,5,14.42701632723697,9.28729766860667,22.76941132256209,1,1,1
Infant_0_6mo,Disturbance,C_low,0.5,2,3.5,14.572873144036079,9.453887550831787,22.714683117902762,1,1,1
Infant_0_6mo,Disturbance,C_low,0.5,2,5,14.572873144036079,9.453887550831787,22.714683117902762,1,1,1
